condition,condition_label,N,MT_single,TPe_single,ER_single,MT_included,TPe_included,MT_omission_reason,TPe_omission_reason
width_wide,Wide-width A1000 W50 ID20 / C1,122,0.802,55.55135541381985,0.0,True,True,included,included
width_wide,Wide-width A1000 W50 ID20 / C1,123,0.708,54.09419863399979,100.0,True,True,included,included
width_wide,Wide-width A1000 W50 ID20 / C1,124,0.722,25.254724062472558,100.0,True,True,included,included
width_wide,Wide-width A1000 W50 ID20 / C1,125,0.664,43.701939085166224,100.0,True,True,included,included
width_wide,Wide-width A1000 W50 ID20 / C1,126,0.8,57.09598228792166,0.0,True,True,included,included
width_wide,Wide-width A1000 W50 ID20 / C1,127,0.699,94.42738133993403,0.0,True,True,included,included
width_wide,Wide-width A1000 W50 ID20 / C1,128,0.762,35.38790725207704,100.0,True,True,included,included
width_wide,Wide-width A1000 W50 ID20 / C1,129,0.647,80.50777480402604,0.0,True,True,included,included
width_wide,Wide-width A1000 W50 ID20 / C1,130,0.533,23.218990647107315,100.0,True,True,included,included
width_wide,Wide-width A1000 W50 ID20 / C1,131,0.676,67.23906230339794,0.0,True,True,included,included
width_wide,Wide-width A1000 W50 ID20 / C1,132,0.569,37.57488223604186,100.0,True,True,included,included
width_wide,Wide-width A1000 W50 ID20 / C1,133,0.596,36.47882297721524,0.0,True,True,included,included
width_wide,Wide-width A1000 W50 ID20 / C1,134,0.757,48.06488662770699,0.0,True,True,included,included
width_wide,Wide-width A1000 W50 ID20 / C1,135,0.828,22.425667552384972,100.0,True,True,included,included
width_wide,Wide-width A1000 W50 ID20 / C1,136,0.727,56.64218880033873,0.0,True,True,included,included
width_wide,Wide-width A1000 W50 ID20 / C1,137,0.884,9.494764619436294,100.0,True,True,included,included
width_wide,Wide-width A1000 W50 ID20 / C1,138,0.778,22.222339147044345,100.0,True,True,included,included
width_wide,Wide-width A1000 W50 ID20 / C1,139,0.846,19.465997686120698,100.0,True,True,included,included
width_wide,Wide-width A1000 W50 ID20 / C1,140,0.55,70.40071257883437,0.0,True,True,included,included
width_wide,Wide-width A1000 W50 ID20 / C1,141,0.683,58.83679418895828,0.0,True,True,included,included
width_wide,Wide-width A1000 W50 ID20 / C1,142,0.762,54.38161738748612,0.0,True,True,included,included
width_wide,Wide-width A1000 W50 ID20 / C1,143,0.725,44.34263727516087,100.0,True,True,included,included
width_wide,Wide-width A1000 W50 ID20 / C1,144,0.691,51.75342111337422,0.0,True,True,included,included
width_wide,Wide-width A1000 W50 ID20 / C1,145,0.657,43.188816764525434,100.0,True,True,included,included
width_wide,Wide-width A1000 W50 ID20 / C1,146,0.769,9.511282880582355,100.0,True,True,included,included
width_wide,Wide-width A1000 W50 ID20 / C1,147,0.752,33.789845828488396,100.0,True,True,included,included
width_wide,Wide-width A1000 W50 ID20 / C1,148,,,100.0,False,False,not_performance_trial,not_performance_trial
width_wide,Wide-width A1000 W50 ID20 / C1,149,0.68,52.735192011777684,100.0,True,True,included,included
width_wide,Wide-width A1000 W50 ID20 / C1,150,0.812,24.827166763340887,100.0,True,True,included,included
width_wide,Wide-width A1000 W50 ID20 / C1,151,0.675,27.62609985238432,0.0,True,True,included,included
width_wide,Wide-width A1000 W50 ID20 / C1,152,0.715,62.28025642513605,0.0,True,True,included,included
width_wide,Wide-width A1000 W50 ID20 / C1,153,0.765,19.05027928044231,100.0,True,True,included,included
width_wide,Wide-width A1000 W50 ID20 / C1,154,0.646,42.47359778624152,100.0,True,True,included,included
width_wide,Wide-width A1000 W50 ID20 / C1,155,0.922,7.311560899988827,100.0,True,True,included,included
width_wide,Wide-width A1000 W50 ID20 / C1,156,0.628,27.4163728723391,100.0,True,True,included,included
width_wide,Wide-width A1000 W50 ID20 / C1,157,0.776,103.76217846264434,0.0,True,True,included,included
width_wide,Wide-width A1000 W50 ID20 / C1,158,0.896,28.909704892694762,0.0,True,True,included,included
width_wide,Wide-width A1000 W50 ID20 / C1,159,,,100.0,False,False,not_performance_trial,not_performance_trial
width_wide,Wide-width A1000 W50 ID20 / C1,160,0.707,85.56213535568354,0.0,True,True,included,included
