global_N,MT_norm,We_norm,Ae_norm,TPe_norm
119,0.30151515151515146,0.03716254116271783,0.061803759422569805,0.26004054101522867
120,0.27575757575757576,0.051577826169112016,0.06516520978527068,0.21429546793934756
121,0.3606060606060606,0.2954960638211595,0.2544716539233114,0.034417777647265904
122,0.3477272727272727,0.061195825084378916,0.08793960414997556,0.16409389472074473
123,,,,
124,0.2931818181818182,0.03617700856876552,0.04465840703970726,0.26528435376616755
125,0.39318181818181824,0.08213706939133478,0.09333073706714654,0.11622263387891114
126,0.2893939393939394,0.08570000821525162,0.04523218946301384,0.13117223265518196
127,0.31969696969696965,0.027016048034101226,0.07711657078784288,0.31626623819632943
128,0.3575757575757576,0.11837794957487364,0.07732920043403835,0.08536725173952962
129,0.26742424242424245,0.05519283183214596,0.08491730730337216,0.21047535633883302
130,0.4765151515151515,0.29077343988609755,0.13371929371862065,0.022668671833358855
131,0.2537878787878788,0.09998424748921729,0.10155405657488821,0.1300520436029647
132,0.3659090909090909,0.008602463254450429,0.14373296043188155,0.5378285518353576
133,0.4568181818181818,0.05688182672833319,0.04619633429412341,0.13802819516995513
134,,,,
135,0.3136363636363636,0.016432597533912848,0.11660047593755297,0.4406188889016557
136,0.3007575757575757,0.06816409250045073,0.14451239185025594,0.17324134401297656
137,0.31590909090909086,0.06432259386872892,0.09607303971073576,0.16876657202440085
138,0.3409090909090909,0.011588504688484746,0.09221604058821321,0.48053395817025174
139,0.3712121212121212,0.07907672528647282,0.17091429188080934,0.13508404900276
140,0.34393939393939393,0.0654989856678767,0.097652976232546,0.15733725962269868
141,0.3378787878787879,0.05940043890228339,0.11501487338009406,0.176014719480674
142,,,,
143,0.16515151515151516,0.01982984132469838,0.056634274163377574,0.5288175119801339
144,0.5257575757575756,0.02772978777146031,0.055180508964524776,0.21618719954716406
145,0.36742424242424243,0.17287861271225022,0.22468459369715196,0.06430666303688468
146,0.2878787878787879,0.033160852259270714,0.03281679624453759,0.28193710393235544
147,0.4651515151515152,0.10733642751368702,0.08491382329784838,0.07765874351062159
148,0.2545454545454546,0.08888801506724073,0.12246651461098365,0.14800045205667353
149,0.3522727272727273,0.08798120161671846,0.07671312752686306,0.11585067090589374
150,,,,
151,0.41363636363636364,0.05497525443363467,0.081693520888869,0.15831901884342947
152,0.23712121212121212,0.0886905830463987,0.05774075733265534,0.1451573827604244
153,0.19772727272727278,0.031520986439036995,0.017690719855141316,0.35295069441985266
154,0.2068181818181818,0.03397607629431688,0.12493706915412012,0.36227880895080383
155,,,,
156,0.17575757575757578,0.08169294517863003,0.12995432647503966,0.1962056838218552
157,,,,
158,0.36363636363636365,0.06720992919762407,0.1271352992707565,0.15230851884177404
159,0.21515151515151512,0.07209530210702388,0.11629508366620751,0.19531713861216915
160,,,,
161,0.40833333333333327,0.046774681039416066,0.1418595340962775,0.19281457595262635
162,,,,
163,,,,
164,0.25757575757575757,0.005700381209049001,0.15466788031264445,0.7552976162082303
165,,,,
166,0.32575757575757575,0.07801906291103694,0.05735470094163664,0.13410376300360444
167,0.4378787878787879,0.04425466787154259,0.04229570429726088,0.17430495618916103
168,0.3878787878787879,0.027698130315441934,0.043111283155559406,0.26586534303459813
169,0.3007575757575757,0.016656900773122207,0.020326562330535394,0.4105589430776796
170,0.3984848484848485,0.027454970721896163,0.12603375480656268,0.28361369245844875
171,0.3575757575757576,0.060520425476032,0.029384576000937544,0.15339362442741108
172,,,,
173,0.31590909090909086,0.06661220046311614,0.09077968676437666,0.1628931689301734
174,0.22424242424242422,0.051035824529977465,0.07476255182933773,0.24518746254234614
175,0.24545454545454545,0.0421747277369588,0.08808789140428987,0.27383081112738505
176,0.3083333333333333,0.021345476035827416,0.08639517374100139,0.37629338085102043
177,0.2446969696969697,0.06047574307787123,0.037709219095726096,0.1962009129184895
178,0.24393939393939393,0.022501491050487054,0.05772297658377377,0.4067167338215549
179,0.2833333333333334,0.17528293531426256,0.12093208417554656,0.0690228424990381
180,0.3090909090909091,0.020483310792242616,0.01844759191013908,0.36077172254766365
181,0.515151515151515,0.054773864014060245,0.055677076869123036,0.13122088528167314
182,0.3007575757575757,0.08736926418759398,0.0749089469327112,0.12949778253946553
183,0.3628787878787879,0.012136403139726078,0.029636975075464114,0.4273886994981411
184,0.36363636363636365,0.044183764309236075,0.13476570324685813,0.21686109413858412
185,0.3386363636363636,0.015560761834696598,0.1065819133262518,0.4279484300487766
186,0.29015151515151516,0.0429577554471067,0.11397059984786312,0.25098786538400997
187,0.28181818181818186,0.005028771912245793,0.05530782038533744,0.6779841572237799
